sample,hic_dir,assembly,meryldb,agp,version,date,genomesize
OG114,/scratch/pawsey0964/lhuet/post_curation/OG114/hic,/scratch/pawsey0964/lhuet/post_curation/OG114/assembly,/scratch/pawsey0964/lhuet/post_curation/OG114/meryl,/scratch/pawsey0964/lhuet/post_curation/OG114/agp,hic2,v240116,1555140873
OG54,/scratch/pawsey0964/lhuet/post_curation/OG54/hic,/scratch/pawsey0964/lhuet/post_curation/OG54/assembly,/scratch/pawsey0964/lhuet/post_curation/OG54/meryl,/scratch/pawsey0964/lhuet/post_curation/OG54/agp,hic1,v250331,821024877
OG57,/scratch/pawsey0964/lhuet/post_curation/OG57/hic,/scratch/pawsey0964/lhuet/post_curation/OG57/assembly,/scratch/pawsey0964/lhuet/post_curation/OG57/meryl,/scratch/pawsey0964/lhuet/post_curation/OG57/agp,hic1,v231027,532109732
OG58,/scratch/pawsey0964/lhuet/post_curation/OG58/hic,/scratch/pawsey0964/lhuet/post_curation/OG58/assembly,/scratch/pawsey0964/lhuet/post_curation/OG58/meryl,/scratch/pawsey0964/lhuet/post_curation/OG58/agp,hic1,v250704,447389165
OG666,/scratch/pawsey0964/lhuet/post_curation/OG666/hic,/scratch/pawsey0964/lhuet/post_curation/OG666/assembly,/scratch/pawsey0964/lhuet/post_curation/OG666/meryl,/scratch/pawsey0964/lhuet/post_curation/OG666/agp,hic1,v241004,1052171519
OG679,/scratch/pawsey0964/lhuet/post_curation/OG679/hic,/scratch/pawsey0964/lhuet/post_curation/OG679/assembly,/scratch/pawsey0964/lhuet/post_curation/OG679/meryl,/scratch/pawsey0964/lhuet/post_curation/OG679/agp,hic1,v250307,640668596
OG681,/scratch/pawsey0964/lhuet/post_curation/OG681/hic,/scratch/pawsey0964/lhuet/post_curation/OG681/assembly,/scratch/pawsey0964/lhuet/post_curation/OG681/meryl,/scratch/pawsey0964/lhuet/post_curation/OG681/agp,hic1,v250307,758041015
OG686,/scratch/pawsey0964/lhuet/post_curation/OG686/hic,/scratch/pawsey0964/lhuet/post_curation/OG686/assembly,/scratch/pawsey0964/lhuet/post_curation/OG686/meryl,/scratch/pawsey0964/lhuet/post_curation/OG686/agp,hic1,v241004,558603285
OG748,/scratch/pawsey0964/lhuet/post_curation/OG748/hic,/scratch/pawsey0964/lhuet/post_curation/OG748/assembly,/scratch/pawsey0964/lhuet/post_curation/OG748/meryl,/scratch/pawsey0964/lhuet/post_curation/OG748/agp,hic1,v241018,816230411
OG784,/scratch/pawsey0964/lhuet/post_curation/OG784/hic,/scratch/pawsey0964/lhuet/post_curation/OG784/assembly,/scratch/pawsey0964/lhuet/post_curation/OG784/meryl,/scratch/pawsey0964/lhuet/post_curation/OG784/agp,hic1,v241018,626428492
OG99,/scratch/pawsey0964/lhuet/post_curation/OG99/hic,/scratch/pawsey0964/lhuet/post_curation/OG99/assembly,/scratch/pawsey0964/lhuet/post_curation/OG99/meryl,/scratch/pawsey0964/lhuet/post_curation/OG99/agp,hic1,v240215,667090715
